qid,sitelinks,lang
Q42331490,9,Arabic
Q335448,9,Arabic
Q4119326,9,Arabic
Q2023114,9,Arabic
Q3318377,9,Arabic
Q1411670,9,Arabic
Q1529348,9,Arabic
Q1710138,9,Arabic
Q4120307,9,Arabic
Q400824,9,Arabic
Q4165440,9,Arabic
Q705607,9,Arabic
Q2058254,9,Arabic
Q3660608,9,Arabic
Q4165852,9,Arabic
Q1751018,9,Arabic
Q281390,9,Arabic
Q12230326,9,Arabic
Q918764,9,Arabic
Q3048651,9,Arabic
Q1463304,9,Arabic
Q4884383,9,Arabic
Q401372,9,Arabic
Q2359343,9,Arabic
Q324779,9,Arabic
Q7111346,9,Arabic
Q2918972,9,Arabic
Q2084346,9,Arabic
Q1391657,9,Arabic
Q2836397,9,Arabic
Q2905903,9,Arabic
Q2916865,9,Arabic
Q2701893,10,Arabic
Q50376370,12,Arabic
Q2836372,11,Arabic
Q793859,11,Arabic
Q4119544,14,Arabic
Q1871590,10,Arabic
Q2911515,14,Arabic
Q5104483,11,Arabic
Q1609124,10,Arabic
Q3777410,11,Arabic
Q3184092,11,Arabic
Q965535,14,Arabic
Q2339569,11,Arabic
Q920526,14,Arabic
Q4165546,10,Arabic
Q400729,10,Arabic
Q307784,10,Arabic
Q2821436,13,Arabic
Q3133541,11,Arabic
Q2843364,10,Arabic
Q27883,14,Arabic
Q950137,13,Arabic
Q359766,13,Arabic
Q3571334,10,Arabic
Q205000,10,Arabic
Q4164547,13,Arabic
Q4664585,11,Arabic
Q4664689,13,Arabic
Q4116307,11,Arabic
Q1951817,12,Arabic
Q4164538,14,Arabic
Q403535,13,Arabic
Q1359497,11,Arabic
Q2827672,11,Arabic
Q2919027,10,Arabic
Q18684778,11,Arabic
Q3217855,13,Arabic
Q3064382,11,Arabic
Q2662234,14,Arabic
Q3079869,12,Arabic
Q335411,11,Arabic
Q2817261,11,Arabic
Q1675962,11,Arabic
Q24286956,14,Arabic
Q2777797,11,Arabic
Q3325447,13,Arabic
Q2827647,10,Arabic
Q2456904,12,Arabic
Q5941667,10,Arabic
Q3509909,11,Arabic
Q733972,14,Arabic
Q3293001,13,Arabic
Q784796,13,Arabic
Q2706504,13,Arabic
Q668603,11,Arabic
Q358669,10,Arabic
Q4308836,13,Arabic
Q1588608,13,Arabic
Q17057004,12,Arabic
Q4165378,11,Arabic
Q12181838,11,Arabic
Q2897231,10,Arabic
Q2821444,11,Arabic
Q308064,12,Arabic
Q1686857,11,Arabic
Q2602302,13,Arabic
Q289886,12,Arabic
Q4115542,11,Arabic
Q4063330,10,Arabic
Q3380886,10,Arabic
Q446774,12,Arabic
Q98074662,10,Arabic
Q307463,13,Arabic
Q3481156,10,Arabic
Q2096557,14,Arabic
Q12180708,12,Arabic
Q1393513,14,Arabic
Q4117952,12,Arabic
Q1031954,14,Arabic
Q1751022,13,Arabic
Q4120248,12,Arabic
Q4120495,10,Arabic
Q889126,13,Arabic
Q887821,14,Arabic
Q1887149,11,Arabic
Q287643,13,Arabic
Q438662,14,Arabic
Q3774929,11,Arabic
Q47121035,10,Arabic
Q4115112,14,Arabic
Q2821199,11,Arabic
Q970115,12,Arabic
Q1329184,10,Arabic
Q2915617,13,Arabic
Q1370042,12,Arabic
Q1371476,12,Arabic
Q2993475,18,Arabic
Q3661283,17,Arabic
Q307814,19,Arabic
Q1381809,17,Arabic
Q123413,17,Arabic
Q403740,16,Arabic
Q461341,18,Arabic
Q1366556,16,Arabic
Q16053060,19,Arabic
Q303651,15,Arabic
Q3506406,17,Arabic
Q115486,17,Arabic
Q381486,15,Arabic
Q710964,19,Arabic
Q1292364,17,Arabic
Q3533955,16,Arabic
Q604530,18,Arabic
Q462287,17,Arabic
Q1394004,17,Arabic
Q12222098,17,Arabic
Q2669418,18,Arabic
Q641011,15,Arabic
Q335637,18,Arabic
Q60216,17,Arabic
Q1397035,17,Arabic
Q335335,17,Arabic
Q712690,17,Arabic
Q169834,17,Arabic
Q173646,15,Arabic
Q3012690,16,Arabic
Q2499944,16,Arabic
Q1395748,15,Arabic
Q2066255,16,Arabic
Q2918967,15,Arabic
Q307619,16,Arabic
Q400643,15,Arabic
Q4937382,16,Arabic
Q1355038,19,Arabic
Q2827460,22,Arabic
Q449254,22,Arabic
Q732062,24,Arabic
Q2362588,23,Arabic
Q307338,22,Arabic
Q6957693,20,Arabic
Q3296283,22,Arabic
Q403629,21,Arabic
Q368209,21,Arabic
Q387953,21,Arabic
Q2064734,21,Arabic
Q2312843,23,Arabic
Q3046947,22,Arabic
Q30081749,20,Arabic
Q144693,21,Arabic
Q1335169,20,Arabic
Q2900391,22,Arabic
Q2142023,23,Arabic
Q420743,20,Arabic
Q2620640,20,Arabic
